umap1,umap2,pc1,pc2
4.2533407,8.747889,0.43586946,2.0560205
4.3529706,9.881156,0.9689765,2.8439202
9.350545,6.3659368,-1.3981938,2.8833647
11.175752,1.2498983,-4.841961,-1.0799488
7.7130966,8.145215,0.24935511,2.6629143
10.250813,1.9557358,-5.4900627,-1.2937242
3.231057,9.660974,0.79705244,0.9377696
5.0378046,3.346089,-5.874336,0.45180714
-1.1962562,3.769161,3.7238705,-0.75712574
-0.80454737,3.2728314,3.405844,-1.3679343
10.054295,-0.2426076,-7.472983,-3.469726
4.9913163,2.172408,-3.464819,-1.824742
5.830983,1.9420922,-8.53607,-5.358022
4.815413,2.3136647,0.31528702,-3.80684
9.84192,5.7603927,-1.6294508,2.7994132
4.961053,9.655114,1.2470481,2.8499384
2.196819,7.059677,1.3355415,0.5875722
1.1776645,5.29189,1.8697326,1.0578632
-1.1602652,0.80024743,3.2120671,-4.204038
-0.6125169,0.9701402,3.4779296,-2.7075763
11.046156,5.822661,-1.672425,1.4488161
4.913015,9.749241,0.8385482,3.5265074
-1.0853809,3.4006338,3.677982,-0.13787192
10.995709,1.7533838,-5.8569846,-0.03431937
-0.44941035,2.7612276,3.5591843,-1.4544196
2.3931978,8.667698,1.165041,1.6488566
2.7519104,5.343574,2.6410933,-0.6337371
8.07907,7.422916,1.5568874,3.6749268
2.1112282,7.515828,1.612838,1.2029712
9.655021,6.73569,-0.6882182,2.009788
0.39513332,3.6707053,1.8866391,-2.3805366
4.1379304,8.918061,-0.08814913,-0.22573161
10.367942,0.9544651,-7.005907,-1.6459135
3.3598287,9.258927,1.0431647,0.6887938
10.112186,-0.4093626,-9.517028,-2.8281398
9.127993,4.945673,-4.1603374,0.66087496
-0.6497456,0.39632747,2.0586436,-4.3829412
5.473064,9.492228,0.14836535,3.4513822
1.3312993,6.401939,1.8526881,0.6691352
0.20054834,1.4811585,3.6740286,-3.2037745
10.824143,2.1763391,-4.288944,-1.0427207
10.659839,1.7481182,-5.3845763,-0.57498455
11.142856,3.5643485,-3.4540153,-0.846992
8.943525,7.061947,-0.6701166,1.708418
5.1187477,8.942809,2.0304804,5.7370725
9.307359,7.0273595,-1.3251417,1.7454252
10.115471,5.5627513,-1.8071918,0.96879387
9.746352,7.055594,-1.0091736,1.9026155
4.4483013,8.811882,0.29079226,1.9161577
0.15403078,3.9435031,4.4713078,-0.6589333
0.6720184,5.2014747,3.6847322,1.3740065
-0.80079883,2.1111145,4.2567153,-3.3091364
-0.28053695,5.0934887,2.356955,-1.350158
3.989552,9.97151,0.76308906,2.275971
5.447103,9.91734,0.7811185,3.3241677
-0.91059124,5.8589115,2.6449392,-0.18119287
-0.7606233,-0.23794863,2.5447736,-3.586392
9.727936,6.074313,-2.4477262,2.6423035
1.3312234,7.29423,0.98495513,-0.9533596
-0.32978728,-0.1885443,2.4578931,-4.95277
3.9025378,9.135754,1.2332652,1.7098095
9.105646,7.52893,-0.62235063,1.9464564
-0.5848219,2.2654357,2.6860685,-1.6349286
0.21672215,6.696927,2.3113728,0.16535395
-1.1063386,0.40788862,2.8853831,-3.9026074
-0.9898248,1.9847889,2.1725533,-2.7598
6.1751842,8.5732975,0.2378175,4.1938267
